Time,Channel B
(s),(mV)

0.00000000,205.83210000
0.00020000,206.70180000
0.00040000,205.25220000
0.00060000,206.12200000
0.00080000,206.70180000
0.00100000,207.57160000
0.00120000,204.96230000
0.00140000,207.57160000
0.00160000,206.99180000
0.00180000,206.70180000
0.00200000,206.41190000
0.00220000,206.41190000
0.00240000,204.67240000
0.00260000,206.70180000
0.00280000,206.70180000
0.00300000,205.54210000
0.00320000,205.54210000
0.00340000,204.67240000
0.00360000,206.70180000
0.00380000,205.25220000
0.00400000,206.70180000
0.00420000,205.83210000
0.00440000,206.12200000
0.00460000,207.57160000
0.00480000,204.67240000
0.00500000,207.28170000
0.00520000,206.12200000
0.00540000,206.99180000
0.00560000,206.41190000
0.00580000,206.70180000
0.00600000,204.96230000
0.00620000,206.12200000
0.00640000,206.70180000
0.00660000,206.12200000
0.00680000,208.15150000
0.00700000,205.83210000
0.00720000,206.12200000
0.00740000,206.70180000
0.00760000,206.70180000
0.00780000,207.57160000
0.00800000,206.41190000
0.00820000,206.99180000
0.00840000,205.54210000
0.00860000,204.09250000
0.00880000,207.28170000
0.00900000,205.54210000
0.00920000,205.54210000
0.00940000,206.70180000
0.00960000,206.70180000
0.00980000,206.41190000
0.01000000,206.41190000
0.01020000,208.15150000
0.01040000,206.41190000
0.01060000,207.57160000
0.01080000,205.54210000
0.01100000,207.28170000
0.01120000,206.99180000
0.01140000,206.12200000
0.01160000,206.99180000
0.01180000,205.83210000
0.01200000,207.28170000
0.01220000,207.57160000
0.01240000,206.41190000
0.01260000,204.38240000
0.01280000,204.09250000
0.01300000,206.99180000
0.01320000,207.86160000
0.01340000,206.41190000
0.01360000,206.41190000
0.01380000,205.25220000
0.01400000,205.54210000
0.01420000,205.54210000
0.01440000,206.41190000
0.01460000,205.25220000
0.01480000,205.83210000
0.01500000,205.83210000
0.01520000,205.83210000
0.01540000,206.41190000
0.01560000,207.28170000
0.01580000,206.41190000
0.01600000,206.12200000
0.01620000,205.83210000
0.01640000,206.99180000
0.01660000,206.99180000
0.01680000,205.83210000
0.01700000,205.83210000
0.01720000,205.54210000
0.01740000,206.12200000
0.01760000,208.15150000
0.01780000,206.41190000
0.01800000,206.12200000
0.01820000,206.41190000
0.01840000,204.96230000
0.01860000,204.67240000
0.01880000,206.12200000
0.01900000,207.86160000
0.01920000,207.86160000
0.01940000,208.15150000
0.01960000,205.54210000
0.01980000,206.12200000
0.02000000,205.25220000
0.02020000,208.44140000
0.02040000,206.12200000
0.02060000,205.25220000
0.02080000,204.09250000
0.02100000,205.25220000
0.02120000,206.12200000
0.02140000,205.54210000
0.02160000,205.54210000
0.02180000,207.28170000
0.02200000,206.41190000
0.02220000,205.25220000
0.02240000,207.28170000
0.02260000,206.41190000
0.02280000,206.12200000
0.02300000,206.41190000
0.02320000,205.83210000
0.02340000,205.83210000
0.02360000,206.70180000
0.02380000,204.96230000
0.02400000,206.41190000
0.02420000,205.54210000
0.02440000,206.41190000
0.02460000,205.54210000
0.02480000,207.57160000
0.02500000,206.12200000
0.02520000,205.54210000
0.02540000,206.70180000
0.02560000,204.67240000
0.02580000,206.41190000
0.02600000,205.25220000
0.02620000,208.44140000
0.02640000,206.99180000
0.02660000,207.57160000
0.02680000,206.70180000
0.02700000,207.86160000
0.02720000,204.67240000
0.02740000,206.70180000
0.02760000,207.57160000
0.02780000,206.41190000
0.02800000,204.38240000
0.02820000,207.86160000
0.02840000,207.28170000
0.02860000,204.96230000
0.02880000,205.25220000
0.02900000,207.57160000
0.02920000,205.25220000
0.02940000,207.28170000
0.02960000,205.54210000
0.02980000,207.57160000
0.03000000,209.02130000
0.03020000,204.96230000
0.03040000,206.99180000
0.03060000,205.83210000
0.03080000,205.83210000
0.03100000,208.44140000
0.03120000,205.25220000
0.03140000,205.83210000
0.03160000,205.54210000
0.03180000,207.86160000
0.03200000,206.70180000
0.03220000,206.70180000
0.03240000,206.99180000
0.03260000,206.12200000
0.03280000,206.70180000
0.03300000,207.86160000
0.03320000,204.67240000
0.03340000,205.83210000
0.03360000,206.99180000
0.03380000,206.41190000
0.03400000,205.25220000
0.03420000,205.83210000
0.03440000,207.57160000
0.03460000,207.28170000
0.03480000,204.67240000
